Row Label,PrecinctCode,County,Registered Voters,Dave Aldrich,Bruce King
EVERETT  16,23821225,SN,NULL,90,92
EVERETT  17,23821226,SN,NULL,73,67
EVERETT  18,23821227,SN,NULL,159,144
EVERETT  19,23821228,SN,NULL,123,94
EVERETT  20,23821229,SN,NULL,131,93
EVERETT  21,23821230,SN,NULL,193,139
EVERETT  22,23821231,SN,NULL,121,86
EVERETT  24,23821232,SN,NULL,139,112
EVERETT  25,23821233,SN,NULL,120,92
EVERETT  26,23821234,SN,NULL,210,148
EVERETT  27,23821235,SN,NULL,137,121
EVERETT  28,23821236,SN,NULL,115,81
EVERETT  29,23821237,SN,NULL,96,80
EVERETT  31,23821238,SN,NULL,91,81
EVERETT  32,23821239,SN,NULL,119,135
EVERETT  33,23821240,SN,NULL,174,152
EVERETT  34,23821241,SN,NULL,95,79
EVERETT  36,23821242,SN,NULL,86,117
EVERETT  37,23821243,SN,NULL,128,115
EVERETT  38,23821244,SN,NULL,29,36
EVERETT  39,23821245,SN,NULL,112,112
